Timestamp,time(UTC),Tair,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP,dni,ghi,dhi,temp_air,wind_speed
2006-01-01 00:00:00+00:00,2008-01-01 00:00:00+00:00,10.15,100.0,0.0,0.0,0.0,282.94,4.29,149.0,101067.0,0.0,0.0,0.0,10.15,4.29
2006-01-01 01:00:00+00:00,2008-01-01 01:00:00+00:00,9.84,100.0,0.0,0.0,0.0,273.02,4.04,153.0,101004.0,0.0,0.0,0.0,9.84,4.04
2006-01-01 02:00:00+00:00,2008-01-01 02:00:00+00:00,9.54,100.0,0.0,0.0,0.0,263.09,3.79,157.0,100942.0,0.0,0.0,0.0,9.54,3.79
2006-01-01 03:00:00+00:00,2008-01-01 03:00:00+00:00,9.24,100.0,0.0,0.0,0.0,253.17,3.54,157.0,100906.0,0.0,0.0,0.0,9.24,3.54
2006-01-01 04:00:00+00:00,2008-01-01 04:00:00+00:00,8.93,100.0,0.0,0.0,0.0,243.25,3.29,157.0,100869.0,0.0,0.0,0.0,8.93,3.29
2006-01-01 05:00:00+00:00,2008-01-01 05:00:00+00:00,8.63,100.0,0.0,0.0,0.0,233.33,3.04,158.0,100833.0,0.0,0.0,0.0,8.63,3.04
2006-01-01 06:00:00+00:00,2008-01-01 06:00:00+00:00,8.33,100.0,0.0,0.0,0.0,223.41,2.79,158.0,100814.0,0.0,0.0,0.0,8.33,2.79
2006-01-01 07:00:00+00:00,2008-01-01 07:00:00+00:00,8.03,100.0,0.0,0.0,0.0,213.48,2.54,159.0,100794.0,0.0,0.0,0.0,8.03,2.54
2006-01-01 08:00:00+00:00,2008-01-01 08:00:00+00:00,9.45,100.0,0.0,0.0,0.0,259.5,3.08,159.0,100774.0,0.0,0.0,0.0,9.45,3.08
2006-01-01 09:00:00+00:00,2008-01-01 09:00:00+00:00,10.49,100.0,11.0,0.0,11.0,273.18,3.84,158.0,100718.0,0.0,11.0,11.0,10.49,3.84
2006-01-01 10:00:00+00:00,2008-01-01 10:00:00+00:00,11.53,100.0,73.0,0.0,73.0,286.87,4.6,157.0,100662.0,0.0,73.0,73.0,11.53,4.6
2006-01-01 11:00:00+00:00,2008-01-01 11:00:00+00:00,12.57,100.0,89.0,0.0,89.0,300.55,5.37,155.0,100606.0,0.0,89.0,89.0,12.57,5.37
2006-01-01 12:00:00+00:00,2008-01-01 12:00:00+00:00,12.72,100.0,165.0,9.67,161.0,305.68,5.56,156.0,100504.0,9.67,165.0,161.0,12.72,5.56
